user_pair_id,days_since_last_snap,streak_length,avg_response_time_hrs,pct_snaps_opened,shared_stories_viewed,snap_map_checks,friend_suggestion_rank,days_since_friend_added,notification_received_7d,treatment,time_to_cold,went_cold,reactivated
ce177b4e,1,20,1.5,0.867,2,1,189,535,5,0,21,0,0
10f1bc81,1,39,7.2,0.765,6,2,17,606,4,0,21,0,0
9132b63e,0,7,7.34,0.537,4,3,132,297,2,0,21,0,0
366eb16f,9,0,1.83,0.865,6,1,183,65,2,0,21,0,0
e27a984d,1,4,0.79,0.851,3,3,152,18,2,0,21,0,0
24933b83,0,5,3.07,0.69,5,2,124,207,4,0,21,0,0
beb79919,2,5,2.06,0.803,5,1,41,104,7,0,21,0,0
bf3c4c06,0,6,9.34,0.499,4,1,57,23,2,0,21,0,0
956269f0,0,12,7.2,0.702,6,2,180,123,0,0,21,0,0
ff50bde4,12,0,18.25,0.673,5,1,183,6,3,0,21,0,0
7e570ddf,2,24,11.26,0.595,5,4,139,432,2,0,21,0,0
dc713d96,20,5,2.46,0.406,4,2,106,53,2,0,2,1,0
28f49481,0,10,4.87,0.834,3,3,78,195,4,0,15,1,0
98ae4334,2,2,31.12,0.534,1,2,71,67,2,0,1,1,0
988c24c9,0,5,2.14,0.636,7,1,93,132,2,0,21,0,0
405cacec,1,13,4.02,0.593,4,1,30,142,3,0,21,0,0
f143262f,2,9,3.3,0.617,2,4,189,36,3,0,21,0,0
1d53434b,2,9,3.38,0.635,6,6,153,628,3,0,21,0,0
c0398710,16,16,1.27,0.561,5,2,188,268,1,0,21,0,0
5715bd6f,0,5,14.0,0.732,2,2,17,504,2,0,21,0,0
287d06ca,0,29,1.21,0.83,8,1,178,405,1,0,21,0,0
b8db0672,22,10,25.63,0.558,1,2,153,163,4,0,12,1,0
f8cda88b,4,26,20.14,0.665,3,3,56,458,1,0,21,0,0
81f76d1c,0,2,4.38,0.507,4,2,174,16,5,0,21,0,0
a013ac6e,3,1,3.34,0.875,5,1,23,39,2,1,11,1,1
81f631d4,0,1,1.41,0.903,4,4,114,8,3,0,21,0,0
5fb8d16c,4,3,3.59,0.478,2,1,167,70,2,0,21,0,0
f4188f3f,1,3,10.89,0.831,4,3,118,88,5,0,21,0,0
eb2263dd,3,1,1.56,0.384,2,3,181,56,2,0,21,0,0
7d154385,0,21,16.69,0.88,2,0,58,317,3,0,21,0,0
5cec4eb5,8,0,10.25,0.726,5,2,58,79,1,0,21,0,0
ce88cb2d,6,16,2.95,0.717,4,3,189,59,3,0,21,0,0
3da9c2a9,1,2,7.97,0.744,5,1,113,140,4,0,21,0,0
14296c07,9,21,1.22,0.832,5,0,53,27,3,0,21,0,0
d0e6e660,7,64,2.96,0.702,1,3,160,291,5,0,21,0,0
885f6e66,0,2,38.04,0.472,3,5,81,13,1,0,21,0,0
a8e56e0c,0,95,12.35,0.8,3,0,121,780,2,0,21,0,0
2a45c2ab,5,28,5.74,0.229,3,2,151,266,3,0,21,0,0
9b49bd26,0,0,3.58,0.776,6,4,178,39,5,0,21,0,0
edcd465e,32,4,3.06,0.646,2,4,72,1,3,0,21,0,0
b09b2a5c,5,0,3.22,0.556,2,1,147,304,2,0,21,0,0
66245bfa,0,2,1.42,0.871,4,3,53,220,10,0,21,0,0
5f987c71,3,11,6.8,0.51,1,1,55,235,1,0,21,0,0
7394988f,4,1,10.47,0.774,5,3,9,265,5,0,21,0,0
1064005c,0,0,2.52,0.458,6,1,104,13,1,0,4,1,1
8dcdcd03,2,26,5.55,0.866,4,0,185,79,5,0,21,0,0
01d74256,0,27,1.49,0.661,3,2,142,22,3,0,21,0,0
0f1259e0,3,25,3.09,0.796,2,0,67,357,1,0,21,0,0
080aadfb,3,8,1.31,0.752,7,3,150,175,3,0,21,0,0
839fbc50,0,19,2.59,0.639,3,0,12,72,3,0,21,0,0
7c441fe7,15,0,3.79,0.664,3,4,171,11,2,0,21,0,0
b92da22b,5,23,6.46,0.804,2,2,126,67,4,0,21,0,0
93829b43,2,3,1.69,0.727,6,2,186,70,2,0,21,0,0
7914c120,1,26,5.61,0.365,2,3,155,235,6,0,21,0,0
1825bc54,4,13,1.16,0.662,7,2,56,182,2,0,21,0,0
5ab33edf,0,52,4.71,0.678,4,3,85,392,1,0,21,0,0
dd2467ac,2,20,37.79,0.749,4,0,96,115,1,0,21,0,0
a748dbcf,6,11,2.21,0.489,3,2,141,22,2,0,21,0,0
0f844fef,0,13,0.77,0.543,4,2,34,224,2,0,21,0,0
ccf3a171,3,24,8.9,0.762,5,4,54,257,6,0,21,0,0
310c0c00,2,15,4.55,0.862,3,2,26,148,2,0,21,0,0
23e2fcb4,12,2,5.5,0.328,3,3,78,265,1,0,21,0,0
766ecb15,1,10,13.45,0.621,6,5,64,122,1,0,21,0,0
134c6c92,0,1,1.52,0.666,2,2,186,133,3,0,16,1,1
db20a56e,5,19,1.57,0.395,4,3,81,100,3,0,21,0,0
a6f2f7b8,1,0,6.04,0.614,6,1,180,4,2,0,21,0,0
03c72ba8,0,21,10.42,0.382,3,3,197,20,3,0,21,0,0
c0e9ab30,3,1,4.31,0.965,3,1,37,5,6,0,21,0,0
680ac07a,8,2,3.07,0.777,7,2,142,182,4,0,21,0,0
dd59ba71,0,22,4.74,0.803,2,1,65,67,1,0,21,0,0
2a25a888,2,0,7.44,0.511,5,0,70,127,6,0,21,0,0
63f2ae24,8,10,0.68,0.451,4,1,149,428,7,0,21,0,0
c8fe3ccd,6,10,1.12,0.619,4,2,101,51,2,0,21,0,0
b253d218,0,3,3.01,0.508,1,0,198,95,4,0,21,0,0
c88a618e,0,10,7.09,0.651,2,3,137,253,5,0,21,0,0
7c967f79,0,8,36.19,0.493,10,0,156,46,3,0,21,0,0
37bb3eec,10,13,2.93,0.808,4,0,55,14,2,0,21,0,0
bc594585,0,0,4.35,0.48,1,0,59,61,6,0,21,0,0
504867ba,1,1,1.6,0.644,4,1,129,31,2,0,21,0,0
7a0ecfea,3,12,6.84,0.461,5,1,11,477,2,0,21,0,0
87f7e1fb,9,7,0.99,0.863,0,1,171,297,1,0,21,0,0
82010c62,2,6,3.28,0.778,2,2,1,180,3,0,21,0,0
118a9d29,12,5,1.17,0.838,6,4,22,369,2,0,21,0,0
dca02eec,6,11,0.33,0.937,4,2,131,293,1,0,21,0,0
f10c718b,7,13,64.27,0.483,2,0,3,37,4,0,2,1,0
94340a03,2,2,8.02,0.46,3,1,33,401,1,0,21,0,0
14fcdd54,6,2,8.08,0.437,6,3,22,139,2,0,21,0,0
90b2b633,6,16,9.02,0.438,2,3,109,296,3,0,21,0,0
42c18a62,1,0,15.92,0.65,5,1,188,407,2,0,21,0,0
506e5a9a,8,9,3.97,0.903,5,2,162,68,3,0,21,0,0
21813d25,2,1,8.63,0.633,7,5,182,20,3,0,21,0,0
750cab75,1,3,1.91,0.94,3,1,98,46,1,0,21,0,0
ef8c485b,21,4,2.75,0.666,6,3,69,100,2,0,21,0,0
9f044aed,5,6,0.61,0.67,2,2,44,306,5,0,21,0,0
19985f15,0,28,4.15,0.784,2,2,25,354,2,0,21,0,0
8181a8cc,4,4,1.85,0.647,5,4,85,1,5,0,21,0,0
5958a499,1,8,2.87,0.334,2,3,102,128,2,0,21,0,0
3e896c64,10,8,8.27,0.497,6,3,160,97,2,0,21,0,0
702cdd20,7,0,4.63,0.735,4,2,157,45,2,0,21,0,0
4d71c366,0,6,10.31,0.74,5,2,53,22,4,0,21,0,0
ce9e1a11,0,7,1.73,0.845,8,2,21,74,1,0,21,0,0
aaf91531,7,0,5.05,0.735,4,1,167,515,4,0,21,0,0
ee87905e,3,1,1.64,0.816,5,3,142,70,2,0,21,0,0
e0ccedc5,0,2,2.74,0.809,3,1,104,131,3,0,21,0,0
e3c43657,1,2,2.37,0.701,4,4,13,218,4,0,21,0,0
27cb6f2a,1,9,1.09,0.917,2,1,133,81,3,0,21,0,0
35ebd32d,1,52,2.11,0.719,4,4,140,642,4,0,21,0,0
afffcfd2,0,27,6.27,0.722,4,3,97,590,9,0,21,0,0
81627cf1,0,4,1.21,0.877,4,0,123,52,3,0,21,0,0
e87d1c78,4,5,1.6,0.71,3,0,109,123,2,0,21,0,0
a2607723,0,3,13.04,0.512,2,3,90,64,3,0,21,0,0
0b49452d,4,7,15.79,0.598,5,4,85,60,1,0,21,0,0
217d65a0,2,1,8.29,0.441,5,2,188,6,1,0,21,0,0
295d6fbf,2,2,21.73,0.664,3,0,199,169,4,0,21,0,0
b4a69f3c,0,9,14.9,0.614,3,1,17,125,6,0,21,0,0
1ca3c448,11,1,3.01,0.592,1,1,66,9,7,0,21,0,0
b0e6a969,2,0,29.61,0.722,1,0,15,58,3,1,1,1,0
093923de,0,0,18.46,0.487,8,1,50,429,2,0,21,0,0
8d7248e2,15,2,3.07,0.586,7,4,17,49,1,0,21,0,0
0ab54bde,5,4,4.38,0.737,5,6,180,28,3,0,21,0,0
eededb07,1,4,1.6,0.939,3,2,56,121,2,0,21,0,0
0a368ce7,0,0,2.99,0.784,7,5,172,763,1,0,21,0,0
ae9bec36,2,1,0.6,0.638,5,2,129,49,6,0,21,0,0
5a8aaeca,6,1,1.74,0.647,4,6,45,200,3,0,21,0,0
dfed2c43,1,41,7.95,0.807,1,3,189,258,3,0,21,0,0
bfddc3d9,1,2,1.08,0.489,4,1,128,48,1,0,21,0,0
3c9ad14c,1,0,2.35,0.365,5,0,127,234,2,0,21,0,0
ccc56569,0,9,6.14,0.89,6,1,7,82,5,0,21,0,0
698c206f,1,3,2.41,0.705,2,3,130,180,1,0,21,0,0
ecab3301,2,10,11.78,0.433,5,5,135,180,5,0,21,0,0
696608aa,1,1,12.39,0.712,1,2,94,138,2,0,21,0,0
bc2cbb0d,3,19,1.68,0.788,7,2,69,17,3,0,21,0,0
28c13091,1,53,2.05,0.674,6,0,16,324,2,0,21,0,0
61ee411a,4,8,3.49,0.769,3,0,79,69,1,0,21,0,0
787f2425,2,7,1.6,0.561,6,1,119,37,3,0,21,0,0
eb1fa9f2,9,1,20.03,0.691,7,0,159,7,0,0,21,0,0
d20eac17,7,37,2.11,0.689,6,1,118,160,3,0,21,0,0
39118497,17,6,9.04,0.795,6,1,84,203,3,0,21,0,0
6601ddd0,9,0,0.64,0.394,2,3,194,3,3,0,21,0,0
11c58ef0,0,1,1.42,0.573,3,4,59,129,4,0,21,0,0
59e4b671,4,1,1.01,0.892,3,0,138,46,1,0,21,0,0
adf4e62d,0,10,0.84,0.735,4,2,135,186,1,0,21,0,0
54c63cd8,1,1,1.88,0.653,2,3,26,34,4,0,21,0,0
e08596db,5,13,4.97,0.801,7,0,130,211,4,0,21,0,0
94a1875d,0,4,17.94,0.744,3,4,33,88,1,0,21,0,0
09cb3942,3,39,2.66,0.646,1,5,188,496,5,0,21,0,0
587ef344,1,4,3.63,0.579,9,2,60,26,2,0,21,0,0
6fb78271,8,8,4.82,0.797,2,1,133,75,5,0,21,0,0
1d9af659,2,4,1.49,0.819,6,1,184,21,2,0,21,0,0
30a900ad,0,38,3.23,0.618,6,1,160,465,2,0,21,0,0
6fa17735,1,1,33.0,0.731,1,4,27,377,5,0,21,0,0
ce777f00,0,0,5.09,0.844,5,5,173,53,1,0,21,0,0
f0b5156b,14,14,32.99,0.421,3,3,23,194,4,0,4,1,0
3270e4fa,11,21,3.41,0.719,1,4,69,305,4,0,21,0,0
f2e9702d,0,6,1.68,0.835,5,1,106,145,1,0,21,0,0
9f871ce7,16,4,10.46,0.69,7,1,55,135,9,0,21,0,0
1fe771d6,5,2,13.33,0.581,5,3,185,49,4,0,21,0,0
81d2c7de,4,1,1.92,0.533,8,1,166,17,2,0,21,0,0
5380b904,13,40,4.96,0.481,4,2,125,409,7,1,2,1,1
8dedf9fb,2,5,3.1,0.614,4,2,111,415,1,0,21,0,0
aa38d0a1,3,12,0.73,0.715,1,1,153,180,2,0,21,0,0
bf85bf0e,0,13,0.77,0.666,2,3,100,74,1,0,21,0,0
91b0e1d9,14,0,2.65,0.801,2,2,28,77,0,0,21,0,0
d56f0350,0,0,11.76,0.841,8,3,44,233,4,0,21,0,0
35ce8841,2,6,8.46,0.782,3,4,85,409,4,0,21,0,0
9b4e2c24,0,19,1.21,0.929,5,2,90,392,3,0,21,0,0
7118e364,5,4,0.97,0.928,2,4,16,272,3,0,21,0,0
82dc4c8e,9,0,1.27,0.968,1,1,26,184,2,0,21,0,0
f5b78cc7,0,1,1.16,0.53,2,1,90,15,1,0,1,1,0
a8aa7158,5,0,1.26,0.757,3,3,183,31,2,0,21,0,0
a9f25336,0,4,0.36,0.789,4,1,151,411,1,0,21,0,0
17e8392a,25,4,0.23,0.756,1,4,78,167,2,1,20,1,1
3c20592f,3,0,0.2,0.869,7,1,118,1,4,0,21,0,0
ce7ae7f6,3,5,0.6,0.818,2,2,13,19,2,0,21,0,0
0bd4a990,1,3,11.98,0.711,2,1,23,196,5,0,21,0,0
9c7c7377,16,1,72.0,0.333,0,0,76,1,2,0,4,1,0
74962764,4,5,30.63,0.428,3,5,179,31,2,0,21,0,0
935f2b0a,0,24,4.37,0.915,8,2,84,143,3,0,21,0,0
624c69b6,13,1,1.41,0.798,8,1,131,211,2,0,21,0,0
25c73c44,9,2,2.07,0.409,10,2,79,189,0,0,21,0,0
e4855aa1,0,13,3.87,0.893,6,3,153,45,2,0,21,0,0
e2add909,1,22,32.26,0.745,0,3,77,224,1,0,21,0,0
3805f907,2,1,1.12,0.724,2,0,138,48,3,0,21,0,0
b227462c,1,0,3.33,0.664,5,2,163,70,3,0,21,0,0
8eb22579,1,26,3.7,0.395,4,4,133,247,4,0,21,0,0
1f115b76,0,2,3.01,0.896,5,2,128,188,2,0,21,0,0
76f2dbfe,0,31,0.36,0.919,3,1,33,340,1,0,21,0,0
8f15ba58,9,39,2.45,0.549,3,1,94,192,1,0,21,0,0
c1581092,2,2,0.75,0.917,2,1,185,151,4,0,21,0,0
d0a44432,3,8,41.13,0.637,6,0,114,17,1,0,21,0,0
6d3ee1dc,8,4,6.22,0.786,2,2,127,82,6,0,6,1,0
722764e6,11,11,11.34,0.707,4,3,6,55,3,0,21,0,0
dc8aee30,0,3,1.25,0.764,5,5,189,50,3,0,21,0,0
c074718e,2,1,2.03,0.761,1,3,102,650,3,0,21,0,0
46fde062,2,11,31.38,0.515,4,1,186,89,2,0,21,0,0
7c0e8cd8,5,2,10.24,0.8,1,1,164,400,2,0,21,0,0
709b7d97,4,31,5.28,0.627,5,2,183,179,3,0,21,0,0
3c07c574,2,7,14.56,0.475,3,0,91,285,1,0,21,0,0
e49d681d,5,0,28.71,0.611,2,4,64,125,2,0,21,0,0
269cd696,5,2,17.62,0.698,8,2,1,154,3,0,21,0,0
271e3ee2,2,20,10.53,0.602,7,2,31,122,2,0,21,0,0
6a34c854,4,2,11.71,0.696,6,3,124,39,3,0,21,0,0
7746d0ba,1,25,2.31,0.698,3,0,45,230,3,0,21,0,0
d5385b0e,10,1,4.12,0.765,6,4,195,59,6,0,21,0,0
c51155ff,0,1,7.02,0.695,3,1,20,4,2,0,21,0,0
05000bc6,0,25,4.71,0.607,7,0,170,186,1,0,21,0,0
9360715f,2,0,5.77,0.542,1,4,68,35,3,0,21,0,0
f1578470,7,6,2.84,0.814,2,2,30,507,1,0,6,1,1
63d62a39,0,45,0.16,0.831,2,2,45,553,6,0,21,0,0
d5f25073,3,15,6.99,0.797,2,2,155,443,1,0,21,0,0
bc10fa52,2,11,3.74,0.772,3,0,45,83,3,0,21,0,0
e5d6f6e6,2,3,3.82,0.583,2,3,5,2,2,0,21,0,0
45df16b6,3,13,37.38,0.545,2,1,4,474,4,0,21,0,0
638c254c,6,17,4.92,0.772,2,7,57,100,7,0,21,0,0
cc530e36,1,19,1.37,0.86,4,1,98,612,2,0,21,0,0
d72b6108,2,22,7.08,0.853,4,0,190,596,1,0,21,0,0
fb10987f,0,2,3.65,0.744,4,1,108,345,3,0,21,0,0
e82c7d7b,13,21,11.33,0.843,2,0,146,62,8,0,21,0,0
a9ba5a27,8,14,1.72,0.847,2,2,149,87,3,0,21,0,0
6db99102,0,4,1.35,0.714,4,5,130,342,4,1,13,1,1
2e85cb21,3,7,1.83,0.92,2,3,71,68,4,0,21,0,0
53cd6268,3,2,0.5,0.416,6,1,35,33,3,0,21,0,0
56666f9f,7,11,2.05,0.946,5,3,110,146,3,0,21,0,0
473bd358,16,91,19.08,0.759,3,1,165,495,1,0,21,0,0
6bebac31,1,0,1.49,0.808,3,2,78,214,3,1,15,1,1
78660765,10,34,0.75,0.877,2,2,57,151,3,0,21,0,0
0d557b61,0,0,1.86,0.723,4,1,107,18,0,0,21,0,0
39669fa7,0,7,4.23,0.611,2,3,41,171,2,0,21,0,0
f510ab53,14,14,1.46,0.751,4,3,97,829,4,0,21,0,0
07f194f9,1,1,3.59,0.785,4,7,115,27,0,0,21,0,0
d6d7b3b8,9,8,4.38,0.773,3,4,150,131,3,0,21,0,0
3d114802,4,28,3.33,0.637,3,5,109,377,6,0,21,0,0
1d48a071,3,4,3.01,0.872,3,1,40,243,3,0,21,0,0
770c7798,4,0,23.1,0.701,4,0,186,214,6,0,21,0,0
5e6fea07,1,12,4.03,0.834,6,3,59,218,1,0,21,0,0
f6b751f7,20,12,1.39,0.893,2,1,13,80,1,0,21,0,0
c71d5e60,2,24,7.61,0.874,4,1,36,62,4,0,21,0,0
4fa03f26,0,2,3.11,0.689,3,1,63,298,2,0,21,0,0
edcb8cb6,0,34,3.59,0.637,8,0,144,299,3,0,21,0,0
e87466d7,4,10,10.12,0.736,3,2,155,363,3,0,21,0,0
f1043785,1,4,14.52,0.572,3,3,133,440,3,1,17,1,0
9793b9b4,3,34,0.95,0.638,2,4,130,128,2,0,21,0,0
3e2b6091,1,2,22.31,0.817,1,1,165,125,2,0,21,0,0
4d3485c5,1,19,3.09,0.799,10,5,192,288,3,0,21,0,0
ce3714af,2,18,3.12,0.964,4,6,72,188,1,0,21,0,0
90e0f4a0,1,7,1.09,0.875,2,2,20,217,5,0,21,0,0
8861fe18,6,16,7.55,0.679,3,3,127,285,4,0,21,0,0
11a72609,7,13,0.69,0.433,10,2,30,397,4,0,21,0,0
033d2bce,3,1,6.0,0.865,4,3,25,74,2,0,21,0,0
7d7ddbed,0,12,20.42,0.518,1,0,29,84,0,0,21,0,0
5cb85aed,8,12,2.35,0.552,5,1,146,17,5,0,21,0,0
75b17a55,7,7,10.91,0.674,4,2,163,155,6,0,21,0,0
2d174fc9,4,15,3.63,0.92,8,0,158,6,5,0,21,0,0
a6846099,0,5,0.72,0.724,3,2,190,112,6,0,21,0,0
eb6c1016,13,7,3.79,0.456,2,1,1,140,4,0,21,0,0
7701f7bb,0,8,2.71,0.725,4,4,64,60,1,0,21,0,0
97ac6aa8,3,2,8.9,0.64,5,4,11,160,2,0,21,0,0
3ed8c56c,3,6,2.23,0.653,0,1,54,5,6,0,21,0,0
4767d76c,2,4,5.75,0.512,3,8,125,6,2,0,21,0,0
c01f36bf,6,30,1.04,0.487,6,1,75,311,1,0,21,0,0
ab0e664e,2,8,5.32,0.658,3,0,191,80,3,0,21,0,0
7e8adee7,0,11,3.41,0.677,6,5,193,24,1,0,21,0,0
7cd0129d,5,12,2.89,0.49,3,2,113,132,2,0,21,0,0
4223623b,4,10,3.44,0.618,4,5,102,264,2,0,21,0,0
989d9d4a,29,18,2.41,0.756,2,0,112,43,5,0,21,0,0
8e485223,4,6,3.88,0.506,4,2,193,175,5,0,21,0,0
30e912f2,6,3,2.67,0.454,5,2,133,16,3,0,21,0,0
680bac63,0,0,1.14,0.721,1,4,32,9,1,0,21,0,0
3d85de89,0,31,0.8,0.932,2,3,65,136,2,0,21,0,0
b63b4dc3,0,2,1.93,0.696,9,1,89,140,6,0,21,0,0
046a0df5,9,2,2.34,0.791,5,1,80,182,4,0,21,0,0
6786d506,3,1,0.12,0.736,4,3,130,233,3,0,21,0,0
a9f948b2,1,12,3.39,0.748,3,0,144,670,5,0,21,0,0
8db06746,1,3,37.46,0.63,6,1,33,130,2,1,3,1,0
ff233d5f,0,11,7.09,0.566,6,1,116,70,1,0,21,0,0
5a104129,1,5,2.75,0.912,2,2,197,285,4,0,21,0,0
4e7ed827,1,9,1.35,0.782,7,2,65,56,5,0,21,0,0
b8a6171f,3,2,0.51,0.897,4,6,42,104,1,0,21,0,0
be2d740a,11,1,8.82,0.689,3,2,53,14,3,1,3,1,0
b0ae8f08,4,4,5.3,0.778,8,4,82,4,1,0,21,0,0
bd1531c8,4,8,0.85,0.71,4,1,99,591,3,0,21,0,0
96ef2ad6,1,1,9.58,0.843,7,1,101,325,1,0,21,0,0
98c7472a,19,41,8.36,0.802,5,0,56,214,3,0,21,0,0
d52721e7,0,1,1.59,0.767,6,1,113,94,3,0,21,0,0
5c62b3a2,2,1,2.41,0.864,5,2,61,34,3,0,21,0,0
b540b30e,0,2,4.37,0.685,6,4,146,30,3,0,21,0,0
0ba6eab9,0,0,6.1,0.584,3,1,147,51,4,0,21,0,0
4ac9778d,8,1,1.0,0.628,3,2,166,143,8,0,21,0,0
a34b6cf6,7,24,6.19,0.633,2,0,197,225,1,0,21,0,0
1a432f0a,2,2,3.54,0.821,5,0,26,194,3,0,21,0,0
48ca7651,2,0,11.27,0.692,3,2,151,59,4,0,21,0,0
5738811d,0,39,7.68,0.408,4,1,141,557,5,0,21,0,0
40a26c60,10,7,3.54,0.442,4,1,88,241,5,0,21,0,0
1d34d08e,13,1,9.1,0.673,4,2,92,145,5,0,21,0,0
7de31a51,0,10,0.63,0.62,2,2,129,170,1,0,21,0,0
afbb411a,1,0,2.2,0.374,5,4,31,97,4,0,21,0,0
cfa701cd,15,4,1.14,0.934,4,0,56,51,4,0,21,0,0
15ce6a66,2,7,1.8,0.484,2,2,13,79,1,0,21,0,0
8edddfcd,3,43,1.78,0.398,2,5,66,255,3,0,21,0,0
989bc4da,1,0,0.83,0.422,5,3,172,2,2,0,21,0,0
c693da11,0,7,9.47,0.859,2,2,64,22,4,0,21,0,0
e893be3d,0,0,7.58,0.928,2,2,131,8,3,0,21,0,0
96a9954f,0,1,1.7,0.455,5,1,44,7,5,0,21,0,0
9191b363,4,3,0.26,0.724,1,6,102,348,1,0,21,0,0
f5c9b047,1,8,1.9,0.749,3,3,158,218,1,0,21,0,0
c342bd2b,9,5,3.15,0.584,5,4,60,115,0,1,2,1,0
43bfd931,3,18,14.77,0.754,4,2,196,18,1,0,21,0,0
3d67cde9,4,25,1.79,0.765,6,3,14,121,2,0,21,0,0
2812859a,4,8,9.74,0.577,2,3,64,115,1,0,21,0,0
b07aa066,0,1,1.91,0.816,2,4,81,34,3,0,21,0,0
085b15fb,2,7,6.21,0.497,4,2,81,102,3,0,21,0,0
48603b32,11,14,8.07,0.897,7,3,124,91,3,0,21,0,0
1238d630,2,0,6.27,0.507,7,2,118,172,1,0,21,0,0
43b9da13,0,6,1.16,0.554,2,3,139,181,4,0,21,0,0
96fc734d,4,0,2.23,0.817,2,2,117,8,4,0,21,0,0
32a447b2,0,2,6.33,0.417,4,1,3,84,6,0,21,0,0
398d1ca6,0,1,0.58,0.339,3,1,83,176,2,0,21,0,0
44007d5a,9,33,7.91,0.843,3,1,33,125,4,1,7,1,1
0f44704f,0,2,0.87,0.845,2,1,57,349,3,0,21,0,0
9854ce4e,11,2,0.75,0.795,8,1,123,193,1,0,21,0,0
ebd34616,16,21,1.85,0.851,2,1,55,32,2,0,1,1,0
77fc9703,2,3,1.56,0.901,2,5,75,13,2,0,21,0,0
670acc5c,2,17,4.06,0.576,5,3,7,185,2,0,21,0,0
8a3c3b5e,8,1,4.45,0.631,7,3,194,4,5,0,21,0,0
9918ee46,10,8,3.59,0.487,1,0,164,158,2,0,21,0,0
bc0a6a5d,10,0,1.13,0.679,1,4,162,507,6,0,21,0,0
069f14f1,8,5,12.55,0.502,3,2,116,154,3,0,21,0,0
ac9ed156,5,7,3.56,0.72,3,3,4,88,2,0,21,0,0
964db03f,0,8,9.24,0.261,7,3,159,185,3,0,21,0,0
c3c75611,0,5,0.27,0.584,3,2,113,110,3,0,21,0,0
9384ec2b,5,16,5.98,0.808,6,2,117,141,2,0,21,0,0
2cd94cbb,4,12,1.77,0.743,6,2,115,510,4,0,21,0,0
7135f221,0,9,7.65,0.841,3,0,152,87,6,0,21,0,0
ff37d19c,1,3,23.68,0.68,2,2,49,584,4,0,21,0,0
d0725b5c,1,33,0.92,0.677,4,1,53,424,4,0,21,0,0
785299f4,1,2,8.53,0.659,3,2,108,39,3,0,21,0,0
5230dfbd,2,2,1.72,0.875,1,2,57,12,1,0,21,0,0
292bd156,5,2,0.42,0.911,3,1,6,19,4,0,21,0,0
7ed70ed7,0,5,9.21,0.622,3,2,72,3,3,0,21,0,0
668409e3,1,10,24.57,0.555,4,0,177,17,1,0,21,0,0
0964fbbf,1,3,33.86,0.649,2,1,183,206,1,0,2,1,0
409d3602,6,5,4.62,0.733,5,4,18,13,3,0,21,0,0
c5c5b37a,0,0,0.68,0.823,3,1,147,69,8,0,21,0,0
d32e6dcd,1,0,2.64,0.809,3,4,37,335,0,0,21,0,0
de8ede0b,1,4,2.94,0.829,4,2,107,4,1,0,21,0,0
